id,task,downloads,likes,tags,description
pnnbao-ump/VieNeu-TTS-v2-Turbo-GGUF,text-to-speech,17777,3,"gguf, tts, vietnamese, bilingual, onnx, cpu-inference, code-switching, on-device","> **Ultra-fast Vietnamese & English TTS — runs entirely on CPU, no GPU required.**"
jetx/trellis-image-large,image-to-3d,17762,8,"trellis, image-to-3d, en, arxiv:2412.01506, license:mit, region:us","The image conditioned version of TRELLIS, a large 3D genetive model. It was introduced in the paper [Structured 3D Latents for Scalable and Versatile 3D Generation](https://huggingface.co/papers/2412."
google-t5/t5-large,translation,526817,256,"transformers, pytorch, tf, jax, safetensors, t5, text2text-generation, summarization",1. [Model Details](#model-details)
OpenMed/OpenMed-NER-GenomeDetect-SuperClinical-434M,token-classification,90994,5,"transformers, safetensors, deberta-v2, token-classification, named-entity-recognition, biomedical-nlp, gene-recognition, protein-recognition",**Specialized model for Gene/Protein Entity Recognition - Gene and protein mentions**
ali-vilab/text-to-video-ms-1.7b,text-to-video,21304,656,"diffusers, safetensors, text-to-video, arxiv:2308.06571, license:cc-by-nc-4.0, diffusers:TextToVideoSDPipeline, region:us","This model is based on a multi-stage text-to-video generation diffusion model, which inputs a description text and returns a video that matches the text description. Only English input is supported."
google/tapas-base-finetuned-sqa,table-question-answering,1403,7,"transformers, pytorch, tf, tapas, table-question-answering, en, dataset:msr_sqa, arxiv:2004.02349",This model has 2 versions which can be used. The default version corresponds to the `tapas_sqa_inter_masklm_base_reset` checkpoint of the [original Github repository](https://github.com/google-researc
IMISLab/GreekWiki-umt5-base,summarization,6338,1,"safetensors, umt5, summarization, el, license:apache-2.0, model-index, region:us",A Greek encyclopedic article summarization model trained and evaluated on [GreekWikipedia](https://huggingface.co/datasets/IMISLab/GreekWikipedia/).
lmstudio-community/gemma-4-E2B-it-MLX-4bit,any-to-any,2372,0,"transformers, safetensors, gemma4, image-text-to-text, mlx, any-to-any, base_model:google/gemma-4-E2B-it, base_model:quantized:google/gemma-4-E2B-it",_👾 [LM Studio](https://lmstudio.ai) Community models highlights program. Highlighting new & noteworthy models by the community. Join the conversation on [Discord](https://discord.gg/aPQfnNkxGC)_.
jzsues/llava-qwen1.5-4b-chat,visual-question-answering,194,0,"transformers, safetensors, llava-qwen2, text-generation, visual-question-answering, zh, en, dataset:Lin-Chen/ShareGPT4V",llava-qwen1.5-4b-chat is a lightweight multimodal models base on [LLaVA architecture](https://llava-vl.github.io/).
OpenMed/OpenMed-NER-SpeciesDetect-ModernMed-149M,token-classification,109723,0,"transformers, safetensors, modernbert, token-classification, named-entity-recognition, biomedical-nlp, species-recognition, taxonomy",**Specialized model for Species Entity Recognition - Species and organism names**
HiDolen/Mini-BS-RoFormer-V2-46.8M,audio-to-audio,213,4,"transformers, safetensors, bs_roformer, feature-extraction, music, audio-to-audio, custom_code, dataset:CLAPv2/MUSDB18-HQ",Model for the Music source separation task.
meituan-longcat/LongCat-Image-Edit,image-to-image,23518,169,"transformers, diffusers, safetensors, image-to-image, en, zh, arxiv:2512.07584, license:apache-2.0",[//]: # (  <a href='https://meituan-longcat.github.io/LongCat-Image/'><img src='https://img.shields.io/badge/Project-Page-green'></a>)
microsoft/mpnet-base,fill-mask,132678,50,"transformers, pytorch, tf, safetensors, mpnet, fill-mask, endpoints_compatible, region:us",
prabinpanta0/celsius-to-fahrenheit,tabular-regression,17,3,"tf-keras, temperature-conversion, celsius-to-fahrenheit, tensorflow, neural-network, tabular-regression, en, dataset:prabinpanta0/celsius-to-fahrenheit",This model is a simple neural network that converts temperatures from Celsius to Fahrenheit.
vismatch/xfeat,keypoint-detection,584,0,"vismatch, image-matching, keypoint-detection, feature-matching, license:apache-2.0, region:us",For usage see https://github.com/gmberton/vismatch
deepvk/GeRaCl-USER2-base,zero-shot-classification,1242,18,"safetensors, GeRaCl, zero-shot-classification, ru, dataset:deepvk/GeRaCl_synthethic_dataset, base_model:deepvk/USER2-base, base_model:finetune:deepvk/USER2-base, license:apache-2.0",**GeRaCl** is a **Ge**neral **Ra**pid **Cl**assifer designed to perform zero-shot classification tasks primarily on Russian texts.
google/pegasus-billsum,summarization,245,4,"transformers, pytorch, pegasus, text2text-generation, summarization, en, arxiv:1912.08777, endpoints_compatible",See Docs: [here](https://huggingface.co/transformers/master/model_doc/pegasus.html)
Qwen/Qwen3-32B,text-generation,2394515,681,"transformers, safetensors, qwen3, text-generation, conversational, arxiv:2309.00071, arxiv:2505.09388, license:apache-2.0","Qwen3 is the latest generation of large language models in Qwen series, offering a comprehensive suite of dense and mixture-of-experts (MoE) models. Built upon extensive training, Qwen3 delivers groun"
CAIR-HKISI/SurgMotion-vitl,video-classification,77,4,"pytorch, surgmotion, surgical-video, foundation-model, video-understanding, phase-recognition, v-jepa, vision-transformer","SurgMotion-L is the ViT-Large checkpoint of SurgMotion, a video-native foundation model for universal understanding of surgical videos."
facehain/LTX2-Rapid-Merges,image-text-to-video,0,0,"ltx2, t2v, i2v, image-text-to-video, base_model:Lightricks/LTX-2, base_model:finetune:Lightricks/LTX-2, license:other, region:us","**I'm winding down maintaining these models. I recommend checking out the [merging script](https://huggingface.co/Phr00t/LTX2-Rapid-Merges/blob/main/MergingScript/fancy-apply.py) to create your own, a"
Helsinki-NLP/opus-mt-en-uk,translation,9625,16,"transformers, pytorch, tf, marian, text2text-generation, translation, en, uk",*  OPUS readme: [en-uk](https://github.com/Helsinki-NLP/OPUS-MT-train/blob/master/models/en-uk/README.md)
PaddlePaddle/th_PP-OCRv5_mobile_rec,image-to-text,1608,2,"PaddleOCR, OCR, PaddlePaddle, textline_recognition, image-to-text, en, license:apache-2.0, region:us",th_PP-OCRv5_mobile_rec is one of the PP-OCRv5_rec that are the latest generation text line recognition models developed by PaddleOCR team. It aims to efficiently and accurately support the recognition
Joy28/videomae-base-finetuned-subset-200epochs,video-classification,73,0,"transformers, safetensors, videomae, video-classification, generated_from_trainer, base_model:MCG-NJU/videomae-base, base_model:finetune:MCG-NJU/videomae-base, license:cc-by-nc-4.0","should probably proofread and complete it, then remove this comment. -->"
unitary/toxic-bert,text-classification,290187,220,"transformers, pytorch, jax, safetensors, bert, text-classification, arxiv:1703.04009, arxiv:1905.12516",The huggingface models currently give different results to the detoxify library (see issue [here](https://github.com/unitaryai/detoxify/issues/15)). For the most up to date models we recommend using t
laion/CLIP-ViT-H-14-laion2B-s32B-b79K,zero-shot-image-classification,399870,452,"open_clip, pytorch, safetensors, clip, zero-shot-image-classification, arxiv:1910.04867, license:mit, region:us",1. [Model Details](#model-details)
apple/MobileCLIP-S2-OpenCLIP,zero-shot-image-classification,64306,19,"open_clip, safetensors, clip, zero-shot-image-classification, arxiv:2311.17049, arxiv:2103.00020, arxiv:2303.15343, arxiv:2309.17425",MobileCLIP was introduced in [MobileCLIP: Fast Image-Text Models through Multi-Modal Reinforced Training
lllyasviel/control_v11p_sd15_openpose,image-to-image,16238,135,"diffusers, safetensors, art, controlnet, stable-diffusion, controlnet-v1-1, image-to-image, arxiv:2302.05543",**Controlnet v1.1** is the successor model of [Controlnet v1.0](https://huggingface.co/lllyasviel/ControlNet)
srg/outhimar_64-Close-regression,tabular-regression,0,4,"sklearn, tabular-regression, baseline-trainer, license:apache-2.0, region:us",r2                        0.999858
bartowski/LLaMA-Mesh-GGUF,text-to-3d,1291,36,"gguf, mesh-generation, text-to-3d, base_model:Zhengyi/LLaMA-Mesh, base_model:quantized:Zhengyi/LLaMA-Mesh, license:llama3.1, endpoints_compatible, region:us","Using <a href=""https://github.com/ggerganov/llama.cpp/"">llama.cpp</a> release <a href=""https://github.com/ggerganov/llama.cpp/releases/tag/b4132"">b4132</a> for quantization."
tlennon-ie/qwen-edit-skin,image-to-image,14187,178,"diffusers, lora, template:diffusion-lora, image-to-image, qwen, en, base_model:Qwen/Qwen-Image-Edit-2509, base_model:adapter:Qwen/Qwen-Image-Edit-2509","EDIT- Version 1.1 uploaded with better convergence, less artifacts and more room in strengths to play with. See [""Full comparision"" examples in the image folder here](https://huggingface.co/tlennon-ie"
LiheYoung/depth_anything_vits14,depth-estimation,3266,9,"transformers, pytorch, depth_anything, depth-estimation, arxiv:2401.10891, endpoints_compatible, region:us",The model card for our paper [Depth Anything: Unleashing the Power of Large-Scale Unlabeled Data](https://arxiv.org/abs/2401.10891).
tiantiaf/whisper-large-v3-broad-accent,audio-classification,3970,0,"safetensors, model_hub_mixin, pytorch_model_hub_mixin, audio-classification, en, dataset:mozilla-foundation/common_voice_11_0, arxiv:2505.14648, base_model:openai/whisper-large-v3",This model includes the implementation of broader accent classification described in Vox-Profile: A Speech Foundation Model Benchmark for Characterizing Diverse Speaker and Speech Traits (https://arxi
Aisha-AI-Official/wan2.2-rough-sex-sidefuck,image-text-to-video,0,5,"lora, nsfw, image-text-to-video, base_model:Wan-AI/Wan2.2-I2V-A14B-Diffusers, base_model:adapter:Wan-AI/Wan2.2-I2V-A14B-Diffusers, region:us",The scene starts with the woman posing.
rizki-syazali/tapasid_finetuned_sqa_to_itqa,table-question-answering,2,0,"transformers, safetensors, tapas, table-question-answering, arxiv:1910.09700, endpoints_compatible, region:us",This is the model card of a 🤗 transformers model that has been pushed on the Hub. This model card has been automatically generated.
Zyphra/Zonos-v0.1-transformer,text-to-speech,10309,422,"zonos, safetensors, text-to-speech, license:apache-2.0, region:us","Zonos-v0.1 is a leading open-weight text-to-speech model trained on more than 200k hours of varied multilingual speech, delivering expressiveness and quality on par with—or even surpassing—top TTS pro"
MoritzLaurer/DeBERTa-v3-base-mnli,zero-shot-classification,3373,8,"transformers, pytorch, safetensors, deberta-v2, text-classification, zero-shot-classification, en, arxiv:2006.03654","This model was trained on the MultiNLI dataset, which consists of 392 702 NLI hypothesis-premise pairs."
google/pegasus-cnn_dailymail,summarization,10995,110,"transformers, pytorch, rust, pegasus, text2text-generation, summarization, en, arxiv:1912.08777",See Docs: [here](https://huggingface.co/transformers/master/model_doc/pegasus.html)
hotchpotch/open-provence-reranker-xsmall-v1,text-ranking,116504,1,"safetensors, open_provence, text-ranking, custom_code, en, ja, dataset:hotchpotch/msmarco-context-relevance, dataset:hotchpotch/japanese-context-relevance",> ⚡️ Lightweight Provence-style rerankers that keep the answers and drop the noise for retrieval-augmented generation.
laion/CLIP-convnext_base_w-laion2B-s13B-b82K-augreg,zero-shot-image-classification,707578,7,"open_clip, tensorboard, safetensors, clip, zero-shot-image-classification, arxiv:2201.03545, arxiv:1910.04867, license:mit",1. [Model Details](#model-details)
prapaa/eastrus-vl-qwen3-8b-gguf,visual-question-answering,306,0,"llama.cpp, gguf, qwen3_vl, unsloth, vision-language-model, qwen3-vl, visual-question-answering, en",
mradermacher/SmolVLM2-2.2B-Instruct-i1-GGUF,video-text-to-text,351,0,"transformers, gguf, video-text-to-text, en, dataset:HuggingFaceM4/the_cauldron, dataset:HuggingFaceM4/Docmatix, dataset:lmms-lab/LLaVA-OneVision-Data, dataset:lmms-lab/M4-Instruct-Data",weighted/imatrix quants of https://huggingface.co/HuggingFaceTB/SmolVLM2-2.2B-Instruct
fixie-ai/ultravox-v0_4_1-llama-3_1-8b,audio-text-to-text,1382,99,"transformers, safetensors, ultravox, feature-extraction, audio-text-to-text, custom_code, ar, de",Ultravox is a multimodal Speech LLM built around a pretrained [Llama3.1-8B-Instruct](https://huggingface.co/meta-llama/Meta-Llama-3.1-8B) and [whisper-large-v3-turbo](https://huggingface.co/openai/whi
Qwen/Qwen3.5-35B-A3B,image-text-to-text,3715078,1377,"transformers, safetensors, qwen3_5_moe, image-text-to-text, conversational, base_model:Qwen/Qwen3.5-35B-A3B-Base, base_model:finetune:Qwen/Qwen3.5-35B-A3B-Base, license:apache-2.0",> This repository contains model weights and configuration files for the post-trained model in the Hugging Face Transformers format.
Satyaai/Satyaai,image-text-to-video,0,0,"sample-factory, music, agent, chemistry, image-text-to-video, hi, dataset:Alibaba-Apsara/Superior-Reasoning-SFT-gpt-oss-120b, dataset:HuggingFaceFW/finetranslations",This modelcard aims to be a base template for new models. It has been generated using [this raw template](https://github.com/huggingface/huggingface_hub/blob/main/src/huggingface_hub/templates/modelca
AnantP78/sam3_pt,mask-generation,8,0,"transformers, safetensors, sam3_video, feature-extraction, sam3, mask-generation, en, license:other","SAM 3 is a unified foundation model for promptable segmentation in images and videos. It can detect, segment, and track objects using text or visual prompts such as points, boxes, and masks. Compared "
ku-nlp/deberta-v2-large-japanese-char-wwm,fill-mask,232765,9,"transformers, pytorch, safetensors, deberta-v2, fill-mask, deberta, character, wwm","This is a Japanese DeBERTa V2 large model pre-trained on Japanese Wikipedia, the Japanese portion of CC-100, and the Japanese portion of OSCAR."
stabilityai/sd-turbo,text-to-image,656838,447,"diffusers, safetensors, text-to-image, diffusers:StableDiffusionPipeline, region:us",SD-Turbo is a fast generative text-to-image model that can synthesize photorealistic images from a text prompt in a single network evaluation.
FishWoWater/TRELLIS-text-xlarge-voxhammer,text-to-3d,7,0,"trellis, text-to-3d, en, arxiv:2412.01506, license:mit, region:us","The text conditioned version of TRELLIS with model size XL, a large 3D genetive model. It was introduced in the paper [Structured 3D Latents for Scalable and Versatile 3D Generation](https://huggingfa"
facebook/dino-vitb16,image-feature-extraction,395147,111,"transformers, pytorch, tf, vit, image-feature-extraction, dino, vision, dataset:imagenet-1k",Vision Transformer (ViT) model trained using the DINO method. It was introduced in the paper [Emerging Properties in Self-Supervised Vision Transformers](https://arxiv.org/abs/2104.14294) by Mathilde 
google/vit-base-patch32-224-in21k,image-feature-extraction,9814,19,"transformers, pytorch, tf, jax, safetensors, vit, image-feature-extraction, vision","Vision Transformer (ViT) model pre-trained on ImageNet-21k (14 million images, 21,843 classes) at resolution 224x224. It was introduced in the paper [An Image is Worth 16x16 Words: Transformers for Im"
sqfoo/STLDM_official,video-to-video,2,0,"safetensors, climate, video-to-video, license:mit, region:us",This model has been pushed to the Hub using the [PytorchModelHubMixin](https://huggingface.co/docs/huggingface_hub/package_reference/mixins#huggingface_hub.PyTorchModelHubMixin) integration:
emrecan/bert-base-turkish-cased-snli_tr,zero-shot-classification,228,0,"transformers, pytorch, bert, text-classification, zero-shot-classification, nli, tr, dataset:nli_tr",
Runware/Qwen-Image-Layered,image-text-to-image,251,0,"diffusers, safetensors, image-text-to-image, en, zh, arxiv:2512.15603, base_model:Qwen/Qwen-Image, base_model:finetune:Qwen/Qwen-Image","We are excited to introduce **Qwen-Image-Layered**, a model capable of decomposing an image into multiple RGBA layers. This layered representation unlocks **inherent editability**: each layer can be i"
mradermacher/HunyuanOCR-i1-GGUF,image-to-text,2490,1,"transformers, gguf, ocr, hunyuan, vision-language, image-to-text, 1B, end-to-end",weighted/imatrix quants of https://huggingface.co/tencent/HunyuanOCR
deepset/roberta-base-squad2-distilled,question-answering,5921,15,"transformers, pytorch, safetensors, roberta, question-answering, exbert, en, dataset:squad_v2",**Language model:** deepset/roberta-base-squad2-distilled
BlackB/blip2-pokemon-pokemon,visual-question-answering,76,0,"transformers, tensorboard, blip-2, visual-question-answering, endpoints_compatible, region:us",
timm/swin_base_patch4_window7_224.ms_in22k_ft_in1k,image-classification,88598,7,"timm, pytorch, safetensors, image-classification, transformers, dataset:imagenet-1k, dataset:imagenet-22k, arxiv:2103.14030",A Swin Transformer image classification model. Pretrained on ImageNet-22k and fine-tuned on ImageNet-1k by paper authors.
owkin/phikon-v2,image-feature-extraction,51303,35,"transformers, safetensors, dinov2, image-feature-extraction, histology, pathology, vision, pytorch","Phikon-v2 is a Vision Transformer Large pre-trained with Dinov2 self-supervised method on PANCAN-XL, a dataset of 450M 20x magnification histology images sampled from 60K whole slide images."
Sudhish-Poojary/ppo-LunarLander-v3,reinforcement-learning,379,0,"stable-baselines3, LunarLander-v3, deep-reinforcement-learning, reinforcement-learning, model-index, region:us",This is a trained model of a **PPO** agent playing **LunarLander-v3**
pedromatias97/genre-recognizer-finetuned-gtzan_dset,audio-classification,2498,4,"transformers, pytorch, hubert, audio-classification, generated_from_trainer, dataset:gtzan, base_model:ntu-spml/distilhubert, base_model:finetune:ntu-spml/distilhubert","should probably proofread and complete it, then remove this comment. -->"
vismatch/sift-nn,keypoint-detection,39,0,"vismatch, image-matching, keypoint-detection, feature-matching, license:apache-2.0, region:us",For usage see https://github.com/gmberton/vismatch
tencent/DepthCrafter,depth-estimation,42762,111,"DepthCrafter, diffusers, safetensors, vision, depth-estimation, arxiv:2409.02095, license:other, region:us","_**[Wenbo Hu<sup>1* &dagger;</sup>](https://wbhu.github.io),"
calcuis/hyvid,text-to-video,1654,25,"gguf, hyvid, lora, gguf-comfy, gguf-node, text-to-video, en, dataset:trojblue/test-HunyuanVideo-anime-images",- drag hyvid_lora_adapter.safetensors [[323MB](https://huggingface.co/calcuis/hyvid/blob/main/hyvid_lora_adapter.safetensors)] to > ./ComfyUI/models/loras
TheDenk/wan2.2-video-continuation,video-to-video,14,2,"diffusers, video, video-generation, video-to-video, wan2.2, en, license:apache-2.0, region:us",This repo contains the code for video continuation inference using [Wan2.2](https://github.com/Wan-Video/Wan2.2).
BAAI/bge-base-zh-v1.5,feature-extraction,411836,104,"sentence-transformers, pytorch, bert, feature-extraction, sentence-similarity, transformers, zh, arxiv:2310.07554",More details please refer to our Github: [FlagEmbedding](https://github.com/FlagOpen/FlagEmbedding).
meituan-longcat/LongCat-Image-Edit-Turbo,image-to-image,29655,57,"transformers, diffusers, safetensors, image-to-image, en, zh, arxiv:2512.07584, license:apache-2.0",[//]: # (  <a href='https://meituan-longcat.github.io/LongCat-Image/'><img src='https://img.shields.io/badge/Project-Page-green'></a>)
facebook/maskformer-swin-tiny-ade,image-segmentation,1260,5,"transformers, pytorch, safetensors, maskformer, vision, image-segmentation, dataset:scene_parse_150, arxiv:2107.06278","MaskFormer model trained on ADE20k semantic segmentation (tiny-sized version, Swin backbone). It was introduced in the paper [Per-Pixel Classification is Not All You Need for Semantic Segmentation](ht"
Maikou/Michelangelo,text-to-3d,0,24,"image-to-3d, text-to-3d, arxiv:2306.17115, license:lgpl-3.0, region:us",* [Project Page](https://neuralcarver.github.io/michelangelo/)
Helsinki-NLP/opus-mt-tc-big-en-bg,translation,22080,1,"transformers, pytorch, tf, safetensors, marian, text2text-generation, translation, opus-mt-tc",Neural machine translation model for translating from English (en) to Bulgarian (bg).
jedyang97/Fast3R_ViT_Large_512,image-to-3d,790,28,"fast3r, safetensors, image-to-3d, model_hub_mixin, pytorch_model_hub_mixin, arxiv:2501.13928, license:other, region:us","To use Fast3R in your own project, you can import the `Fast3R` class from `fast3r.models.fast3r` (follow instructions from the [Fast3R GitHub repo](https://github.com/facebookresearch/fast3r) to insta"
k2-fsa/OmniVoice,text-to-speech,701830,600,"omnivoice, safetensors, zero-shot, multilingual, voice-cloning, voice-design, text-to-speech, aae","OmniVoice is a massively multilingual zero-shot text-to-speech (TTS) model supporting over 600 languages. Built on a novel diffusion language model-style architecture, it delivers high-quality speech "
qihoo360/360VL-8B,visual-question-answering,201,13,"transformers, safetensors, QH_360VL, text-generation, visual-question-answering, custom_code, zh, en",**360VL** is developed based on the LLama3 language model and is also the industry's first open source large multi-modal model based on **LLama3-70B**[[🤗Meta-Llama-3-70B-Instruct](https://huggingface.
PekingU/rtdetr_r50vd,object-detection,39064,29,"transformers, safetensors, rt_detr, object-detection, vision, en, dataset:coco, arxiv:2304.08069",1. [Model Details](#model-details)
TheDenk/wan2.1-t2v-1.3b-controlnet-hed-v1,video-to-video,118,4,"diffusers, safetensors, video, video-generation, video-to-video, controlnet, en, license:apache-2.0",This repo contains the code for dilated controlnet module for Wan2.1 model.
numind/NuMarkdown-8B-Thinking,image-to-text,133315,452,"transformers, safetensors, qwen2_5_vl, image-text-to-text, OCR, vision-language, VLM, Reasoning","🖥️ <a href=""https://nuextract.ai/"">API / Platform</a>&nbsp&nbsp | &nbsp&nbsp🗣️ <a href=""https://discord.gg/3tsEtJNCDe"">Discord</a>&nbsp&nbsp | &nbsp&nbsp🔗 <a href=""https://github.com/numindai/NuMarkdo"
LiquidAI/LFM2-350M-ENJP-MT-GGUF,translation,44803,31,"transformers, gguf, liquid, lfm2, edge, translation, japanese, en","src=""https://cdn-uploads.huggingface.co/production/uploads/61b8e2ba285851687028d395/2b08LKpev0DNEk6DlnWkY.png"""
westlake-repl/SaProt_650M_AF2,fill-mask,101671,16,"transformers, pytorch, esm, fill-mask, license:mit, endpoints_compatible, region:us, deploy:azure","We provide two ways to use SaProt, including through huggingface class and"
prithivMLmods/Common-Voice-Gender-Detection,audio-classification,138222,24,"transformers, safetensors, wav2vec2, audio-classification, voice-gender-detection, male, female, biology","> **Common-Voice-Gender-Detection** is a fine-tuned version of `facebook/wav2vec2-base-960h` for **binary audio classification**, specifically trained to detect speaker gender as **female** or **male*"
mradermacher/Polaris-VGA-4B-Post1.0e-GGUF,object-detection,1024,0,"transformers, gguf, text-generation-inference, object-detection, localization, grounding, visual-grounding-anything, vllm",static quants of https://huggingface.co/prithivMLmods/Polaris-VGA-4B-Post1.0e
davidleiva4999/TRELLIS-text-xlarge,text-to-3d,36,0,"trellis, text-to-3d, en, arxiv:2412.01506, license:mit, region:us","The text conditioned version of TRELLIS with model size XL, a large 3D genetive model. It was introduced in the paper [Structured 3D Latents for Scalable and Versatile 3D Generation](https://huggingfa"
microsoft/BiomedVLP-CXR-BERT-specialized,fill-mask,105931,35,"transformers, pytorch, safetensors, cxr-bert, feature-extraction, exbert, fill-mask, custom_code","[CXR-BERT](https://arxiv.org/abs/2204.09817) is a chest X-ray (CXR) domain-specific language model that makes use of an improved vocabulary, novel pretraining procedure, weight regularization, and tex"
microsoft/git-base-textvqa,visual-question-answering,560,7,"transformers, pytorch, safetensors, git, image-text-to-text, vision, visual-question-answering, en","GIT (short for GenerativeImage2Text) model, base-sized version, fine-tuned on TextVQA. It was introduced in the paper [GIT: A Generative Image-to-text Transformer for Vision and Language](https://arxi"
cerspense/zeroscope_v2_XL,video-to-video,425,504,"diffusers, video-to-video, license:cc-by-nc-4.0, diffusers:VideoToVideoSDPipeline, region:us",[example outputs](https://www.youtube.com/watch?v=HO3APT_0UA4) (courtesy of [dotsimulate](https://www.instagram.com/dotsimulate/))
BAAI/bge-multilingual-gemma2,feature-extraction,781922,199,"sentence-transformers, safetensors, gemma2, feature-extraction, sentence-similarity, transformers, mteb, arxiv:2402.03216",For more details please refer to our Github: [FlagEmbedding](https://github.com/FlagOpen/FlagEmbedding).
onnx-community/owlv2-base-patch16-ensemble-ONNX,zero-shot-object-detection,11,1,"transformers.js, onnx, owlv2, zero-shot-object-detection, base_model:google/owlv2-base-patch16-ensemble, base_model:quantized:google/owlv2-base-patch16-ensemble, region:us",This is an ONNX version of [google/owlv2-base-patch16-ensemble](https://huggingface.co/google/owlv2-base-patch16-ensemble). It was automatically converted and uploaded using [this space](https://huggi
ZhengPeng7/BiRefNet_512x512,image-segmentation,1681,5,"birefnet, safetensors, background-removal, mask-generation, Dichotomous Image Segmentation, Camouflaged Object Detection, Salient Object Detection, pytorch_model_hub_mixin",> This BiRefNet was trained with images in `512x512` for faster and more accurate lower resolution inference.
vidore/colqwen2.5-v0.1,visual-document-retrieval,145,0,"colpali, safetensors, vidore, vidore-experimental, visual-document-retrieval, en, arxiv:2004.12832, arxiv:2407.01449",ColQwen is a model based on a novel model architecture and training strategy based on Vision Language Models (VLMs) to efficiently index documents from their visual features.
KiranKSaravana/sd-class-butterflies-32-copy-5,unconditional-image-generation,32,0,"diffusers, safetensors, pytorch, unconditional-image-generation, diffusion-models-class, license:mit, diffusers:DDPMPipeline, region:us",This model is a diffusion model for unconditional image generation of cute 🦋.
Qwen/Qwen3-Coder-30B-A3B-Instruct,text-generation,1829910,1011,"transformers, safetensors, qwen3_moe, text-generation, conversational, arxiv:2505.09388, license:apache-2.0, endpoints_compatible","**Qwen3-Coder** is available in multiple sizes. Today, we're excited to introduce **Qwen3-Coder-30B-A3B-Instruct**. This streamlined model maintains impressive performance and efficiency, featuring th"
twelcone/medsam2-hiera-large,mask-generation,27,1,"sam2, coreml, mask-generation, arxiv:2408.00714, license:apache-2.0, region:us","MedSAM2 Large is a specialized version of SAM2 for medical image segmentation tasks, now available for use with CoreML. This model is optimized to work seamlessly on Apple devices, enabling efficient,"
google/owlv2-base-patch16-ensemble,zero-shot-object-detection,961008,118,"transformers, pytorch, safetensors, owlv2, zero-shot-object-detection, vision, arxiv:2306.09683, license:apache-2.0","The OWLv2 model (short for Open-World Localization) was proposed in [Scaling Open-Vocabulary Object Detection](https://arxiv.org/abs/2306.09683) by Matthias Minderer, Alexey Gritsenko, Neil Houlsby. O"
wyysf/CraftsMan,text-to-3d,0,14,"text-to-3d, arxiv:2405.14979, license:other, region:us",Model card for *CraftsMan: High-fidelity Mesh Generation with 3D Native Generation and Interactive Geometry Refiner*.
M-Ahmad-Abid/Diabetes_model,tabular-classification,20,0,"transformers, joblib, xgboost, autotrain, tabular, classification, tabular-classification, dataset:M-Ahmad-Abid/autotrain-data-diabetes",- Problem type: Binary Classification
